epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,200.497,0.78703,0.60249,1.1015,0.82599,0.77951,0.84368,0.53571,0.99292,0.82231,1.35608,0.000276008,0.000276008,0.000276008
61,204.165,0.77793,0.54001,1.06304,0.91539,0.73564,0.87681,0.58653,0.94874,0.79229,1.33558,0.000252431,0.000252431,0.000252431
62,207.469,0.75116,0.49478,1.06104,0.89102,0.78206,0.87172,0.57734,0.94348,0.80324,1.33722,0.000228855,0.000228855,0.000228855
63,210.852,0.75171,0.4859,1.04267,0.78454,0.84696,0.87336,0.58373,0.94701,0.80157,1.34421,0.000205279,0.000205279,0.000205279
64,214.142,0.732,0.46765,1.0348,0.8398,0.77878,0.85266,0.57336,0.94628,0.80738,1.35269,0.000181703,0.000181703,0.000181703
65,217.437,0.71542,0.46116,1.02946,0.85154,0.79407,0.87954,0.56757,0.96527,0.81631,1.36924,0.000158127,0.000158127,0.000158127
66,220.732,0.72057,0.44704,1.02782,0.86793,0.7604,0.86428,0.56333,0.96371,0.78451,1.37135,0.000134551,0.000134551,0.000134551
67,224.046,0.69945,0.44357,1.01735,0.80117,0.85719,0.88116,0.58351,0.95011,0.78524,1.36071,0.000110975,0.000110975,0.000110975
68,227.343,0.7072,0.43263,1.02143,0.85429,0.81597,0.86148,0.57897,0.94911,0.78753,1.35375,8.73984e-05,8.73984e-05,8.73984e-05
69,230.639,0.7002,0.42381,1.01354,0.83663,0.81675,0.85731,0.57611,0.95219,0.80008,1.35578,6.38223e-05,6.38223e-05,6.38223e-05
70,233.91,0.68037,0.42838,1.00702,0.83492,0.7976,0.86078,0.57574,0.95672,0.80431,1.36482,4.02461e-05,4.02461e-05,4.02461e-05
